terminal,type,aircode,airname,flightid,gate,date,time,estdate,esttime,location,locationeng,locationcn,status,aircraft,otherport,otherenf,othercn,luggagegate,checkincounter
2,A,TG,泰國航空,6333,C1,2018/08/06,05:10:00,2018/08/06,04:44:57,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,皀
2,A,BR,長榮航空,25,C8,2018/08/06,05:10:00,2018/08/06,04:28:03,SEA,Seattle,西雅圖,已到ARRIVED,B777-300,,,,,
2,A,SQ,新加坡航空,5825,C8,2018/08/06,05:10:00,2018/08/06,04:28:03,SEA,Seattle,西雅圖,已到ARRIVED,,,,,,
2,A,TG,泰國航空,6337,C8,2018/08/06,05:10:00,2018/08/06,04:28:03,SEA,Seattle,西雅圖,已到ARRIVED,,,,,,
2,A,BR,長榮航空,11,D1,2018/08/06,05:10:00,2018/08/06,05:09:02,LAX,LosAngeles,洛杉磯,已到ARRIVED,B777-300,,,,,
2,A,SQ,新加坡航空,5811,D1,2018/08/06,05:10:00,2018/08/06,05:09:02,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,TG,泰國航空,6325,D1,2018/08/06,05:10:00,2018/08/06,05:09:02,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,AV,哥倫比亞,4500,D1,2018/08/06,05:10:00,2018/08/06,05:09:02,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,BR,長榮航空,316,C10,2018/08/06,05:15:00,2018/08/06,05:06:22,BNE,Brisbane,布里斯本,已到ARRIVED,A330-200,,,,,
1,A,CI,中華航空,64,A5,2018/08/06,05:20:00,2018/08/06,05:19:00,VIE,Vienna,維也納,已到ARRIVED,A350-900,,,,,
2,A,CI,中華航空,31,D6,2018/08/06,05:20:00,2018/08/07,06:21:00,YVR,Vancouver,溫哥華,已到ARRIVED,A350-900,,,,2,
2,A,VN,越南航空,2035,D6,2018/08/06,05:20:00,2018/08/07,06:21:00,YVR,Vancouver,溫哥華,已到ARRIVED,,,,,2,
2,A,CI,中華航空,3,D4,2018/08/06,05:25:00,2018/08/06,04:53:00,SFO,SanFrancisco,舊金山,已到ARRIVED,B777-300,,,,,皀
2,A,DL,達美航空,7731,D4,2018/08/06,05:25:00,2018/08/06,04:53:00,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
2,A,VN,越南航空,2031,D4,2018/08/06,05:25:00,2018/08/06,04:53:00,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,皀
2,A,GA,印尼航空,9065,D4,2018/08/06,05:25:00,2018/08/06,04:53:00,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
1,A,TR,酷航,898,B9,2018/08/06,05:40:00,2018/08/06,05:35:15,SIN,Singapore,新加坡,已到ARRIVED,B787-9,,,,,
2,A,BR,長榮航空,15,C2,2018/08/06,05:45:00,2018/08/06,05:12:11,LAX,LosAngeles,洛杉磯,已到ARRIVED,B777-300,,,,,
2,A,SQ,新加坡航空,5815,C2,2018/08/06,05:45:00,2018/08/06,05:12:11,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,TG,泰國航空,6327,C2,2018/08/06,05:45:00,2018/08/06,05:12:11,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,BR,長榮航空,51,C8,2018/08/06,05:50:00,2018/08/06,05:30:21,IAH,Houston,休士頓,已到ARRIVED,B777-300,,,,,
2,A,TG,泰國航空,6339,C8,2018/08/06,05:50:00,2018/08/06,05:30:21,IAH,Houston,休士頓,已到ARRIVED,,,,,,
2,A,CI,中華航空,52,A6,2018/08/06,05:55:00,2018/08/06,05:27:00,SYD,Sydney,雪梨,已到ARRIVED,A350-900,,,,,
2,A,QF,澳洲航空,389,A6,2018/08/06,05:55:00,2018/08/06,05:27:00,SYD,Sydney,雪梨,已到ARRIVED,,,,,,
2,A,AF,法國航空,4161,A6,2018/08/06,05:55:00,2018/08/06,05:27:00,SYD,Sydney,雪梨,已到ARRIVED,,,,,,
2,A,KL,荷蘭航空,4990,A6,2018/08/06,05:55:00,2018/08/06,05:27:00,SYD,Sydney,雪梨,已到ARRIVED,,,,,,
1,A,VJ,越捷航空,840,B1R,2018/08/06,05:55:00,2018/08/06,05:56:36,SGN,HoChiMinh,胡志明市,已到ARRIVED,A321-200,,,,,
2,A,CI,中華航空,54,D1,2018/08/06,05:55:00,2018/08/06,06:11:00,BNE,Brisbane,布里斯本,已到ARRIVED,A350-900,AKL,Auckland,奧克蘭,,
2,A,QF,澳洲航空,387,D1,2018/08/06,05:55:00,2018/08/06,06:11:00,BNE,Brisbane,布里斯本,已到ARRIVED,,AKL,Auckland,奧克蘭,,
1,A,3K,捷星航空,723,B1R,2018/08/06,06:00:00,2018/08/06,06:02:08,SIN,Singapore,新加坡,已到ARRIVED,A320,,,,,
1,A,QF,澳洲航空,5323,B1R,2018/08/06,06:00:00,2018/08/06,06:02:08,SIN,Singapore,新加坡,已到ARRIVED,,,,,,
1,A,CI,中華航空,62,A7,2018/08/06,06:10:00,2018/08/06,07:03:00,FRA,Frankfurt,法蘭克福,已到ARRIVED,B777-300,,,,,
2,A,BR,長榮航空,382,C1,2018/08/06,06:15:00,2018/08/06,06:13:38,SGN,HoChiMinh,胡志明市,已到ARRIVED,B777-300,,,,,
2,A,B7,立榮航空,1030,C1,2018/08/06,06:15:00,2018/08/06,06:13:38,SGN,HoChiMinh,胡志明市,已到ARRIVED,,,,,,
2,A,BR,長榮航空,262,C10,2018/08/06,06:20:00,2018/08/06,05:53:39,MNL,Manila,馬尼拉,已到ARRIVED,A321-200,,,,,
2,A,BR,長榮航空,88,C9,2018/08/06,06:30:00,2018/08/06,06:56:44,CDG,Paris,巴黎,已到ARRIVED,B777-300,,,,,","
2,A,BR,長榮航空,206,C2,2018/08/06,06:35:00,2018/08/06,06:32:21,BKK,Bangkok,曼谷(BKK),已到ARRIVED,A330-300,,,,,"克蘭,"
2,A,AI,印度航空,7064,C2,2018/08/06,06:35:00,2018/08/06,06:32:21,BKK,Bangkok,曼谷(BKK),已到ARRIVED,,,,,,"克蘭,"
2,A,TG,泰國航空,6306,C2,2018/08/06,06:35:00,2018/08/06,06:32:21,BKK,Bangkok,曼谷(BKK),已到ARRIVED,,,,,,"克蘭,"
1,A,XW,酷鳥航空,182,B3,2018/08/06,07:05:00,2018/08/06,07:00:24,DMK,DMK,廊曼,已到ARRIVED,B777-200,,,,,
1,A,IT,台灣虎航,217,B1R,2018/08/06,07:35:00,2018/08/06,06:48:15,HND,Haneda,羽田,已到ARRIVED,A320-232,,,,,","
1,A,SL,泰國獅子航空,398,B1R,2018/08/06,08:00:00,2018/08/06,07:48:38,DMK,DMK,廊曼,已到ARRIVED,B737-800,,,,,
1,A,MM,樂桃航空,859,B2,2018/08/06,08:25:00,2018/08/06,08:15:10,HND,Haneda,羽田,已到ARRIVED,A320,,,,,","
2,A,BR,長榮航空,149,D10,2018/08/06,08:45:00,2018/08/06,08:19:45,ICN,Incheon,仁川,已到ARRIVED,A321-200,,,,,","
2,A,OZ,韓亞航空,6877,D10,2018/08/06,08:45:00,2018/08/06,08:19:45,ICN,Incheon,仁川,已到ARRIVED,,,,,,","
2,A,TG,泰國航空,6395,D10,2018/08/06,08:45:00,2018/08/06,08:19:45,ICN,Incheon,仁川,已到ARRIVED,,,,,,","
1,A,MM,樂桃航空,921,B1,2018/08/06,08:55:00,2018/08/06,08:36:16,OKA,Okinawa,琉球(沖繩),已到ARRIVED,A320,,,,,
1,A,CX,國泰航空,496,B7,2018/08/06,08:55:00,2018/08/06,08:49:18,HKG,HongKong,香港,已到ARRIVED,A330,,,,,
1,A,KA,國泰港龍,5496,B7,2018/08/06,08:55:00,2018/08/06,08:49:18,HKG,HongKong,香港,已到ARRIVED,,,,,,
2,A,BR,長榮航空,828,D4,2018/08/06,09:10:00,2018/08/06,08:54:43,HKG,HongKong,香港,已到ARRIVED,A321-200,,,,,
2,A,HX,香港航空,1828,D4,2018/08/06,09:10:00,2018/08/06,08:54:43,HKG,HongKong,香港,已到ARRIVED,,,,,,
1,A,LJ,真航空,81,A2,2018/08/06,09:25:00,2018/08/06,09:31:03,ICN,Incheon,仁川,已到ARRIVED,B737,,,,,
1,A,KE,大韓航空,5755,A2,2018/08/06,09:25:00,2018/08/06,09:31:03,ICN,Incheon,仁川,已到ARRIVED,,,,,,
1,A,PR,菲律賓航空,896,A8,2018/08/06,09:25:00,2018/08/06,08:58:33,MNL,Manila,馬尼拉,已到ARRIVED,A321,,,,,
